id,chord_progression,release_date,genre,chord_length
79,<intro_1> G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F <verse_1> G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F Emin F C D <chorus_1> G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F <instrumental_1> G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F <verse_2> G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G F G F Emin F C D <chorus_2> G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F <instrumental_2> G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F <outro_1> G Gsus4 G F Fsus4 F G Gsus4 G F Fsus4 F G,1980,rock,261
266,<intro_1> Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D <verse_1> Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin <chorus_1> D Emin C Amin D Emin C Amin D Emin C Amin D Emin C D <verse_2> Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D <chorus_2> Emin C Amin D Emin C Amin D Emin C Amin D Emin C D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D <verse_3> Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin <chorus_3> D Emin C Amin D Emin C Amin D Emin C Amin D Emin C D Emin C Amin D Emin C Amin D Emin C Amin D Emin C D <outro_1> Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin C Amin D Emin,1995,pop_rock,213
1852,<intro_1> C Amin F G <verse_1> C A Amin F G C A Amin F G C A Amin F G C A Amin F G <verse_2> C A Amin F G A Amin A Amin C A Amin G A Amin G A Amin A Amin A Amin G A Amin G A Amin <bridge_1> A Amin A Amin A Amin A Amin A Amin A Amin A Amin A Amin C A Amin F G C A Amin F G <chorus_1> C A Amin F G C A Amin F G C A Amin A Amin A Amin A Amin A Amin A Amin <outro_1> G A Amin A Amin A Amin A Amin C A Amin F G C A Amin A Amin A Amin A Amin A Amin A Amin G A Amin A Amin A Amin A Amin A Amin A Amin A Amin A Amin,2020-09-25,soul,151
1994,<intro_1> G F Emin G F Emin G F Emin G F Emin As A G F Emin G F Emin G Emin Gs Emin Bmin Emin C Emin Cs Emin <verse_1> C Ds D Cs C Ds D Cs C Ds D Cs C Ds D Cs G F Emin G F Emin G F Emin G F Emin As A G F Emin G F Emin G F Emin G F Emin G F Emin G F Emin As A Emin <verse_2> C Ds D Cs C Ds D Cs C Ds D Ds C Ds D Cs <chorus_1> Emin G Emin Gs Emin Bmin Emin G Emin Gs Emin Bmin Emin G Emin Gs Bmin Emin C Emin Cs Emin G Emin Gs Bmin Emin C Emin Cs Emin <solo_1> Fs A G Emin Fs A G F <chorus_2> Emin G Emin Gs Emin Bmin Emin G Emin Gs Emin Bmin Emin G Emin Gs Bmin Emin C Emin Cs Emin G Emin Gs Bmin Emin C Emin Cs Emin <interlude_1> F Emin As A C B As G A As F Emin As A C B As G As A F Emin As A C B As A G F Emin As A C B As F <verse_3> Emin G A As Emin G As A Emin As A G Emin F Emin G A As Emin G As A Emin As A G Emin F <interlude_2> Emin As A C B As G A As F Emin As A C B As G As A F Emin As A C B As A G F Emin As A C B As F <verse_4> Emin G A As Emin G As A Emin As A G Emin F Emin G A As Emin G As A Emin As A G Emin F Emin <interlude_3> G Emin Gs Emin Bmin Emin G Emin Gs Emin Bmin Emin G Emin Gs Emin Bmin Emin C Emin Cs Emin Ds Emin G Emin Gs Emin Bmin As Emin C Emin Cs Emin Ds <verse_5> Bmin D Cs C Bmin D Cs C Bmin D Cs C Bmin D Cs C Emin <chorus_3> G Emin Gs Emin Bmin Emin G Emin Gs Emin Bmin Emin G Emin Gs Bmin Emin C Emin Cs Emin G Emin Gs Bmin Emin C Emin Cs Emin <outro_1> G F Emin G F Emin G F Emin G F Emin As A G F Emin G F Emin G F Emin G F Emin As A F Emin,1990-01-01,metal,424
2447,<intro_1> G A Bmin G A Bmin <chorus_1> G A Bmin D G A Bmin G A Bmin G A Bmin <verse_1> Fsmin G A Bmin D G A Bmin G A Bmin G A Bmin <chorus_2> G A Bmin D G A Bmin G A Bmin G A Bmin G A Bmin G A Bmin <verse_2> G A Bmin D G A Bmin G A Bmin D G A Bmin D <chorus_3> G A Bmin D G A Bmin G A Bmin G A Bmin D G A Bmin D G A Bmin G A Bmin G A Bmin G A Bmin G A Bmin G A Bmin G A Bmin G A Bmin G A Bmin <intro_2> C D Emin C D Emin <chorus_4> C D Emin G C D Emin C D Emin C D Emin <verse_3> Bmin C D Emin G C D Emin C D Emin C D Emin <chorus_5> C D Emin G C D Emin C D Emin C D Emin C D Emin C D Emin <verse_4> C D Emin G C D Emin C D Emin G C D Emin G <chorus_6> C D Emin G C D Emin C D Emin C D Emin G C D Emin G C D Emin C D Emin C D Emin C D Emin C D Emin C D Emin C D Emin C D Emin C D Emin,2023-03-03,country,236
4604,<verse_1> B Gb Db B Ebmin Db B Gb Db Abmin Gb B Db Abmin Gb Db Abmin Db Eb B Db Abmin Gb Db <chorus_1> B Ebmin Db B Ebmin Db B Ebmin Db Abmin Gb B Db <interlude_1> B Db Ebmin Db B Db Ebmin Db B Db Ebmin Db B Db Ebmin Gb <verse_2> B Gb Db B Ebmin Db B Gb Db Abmin Gb B Db Abmin Gb Db Abmin Db Eb B Db Abmin Gb Db <chorus_2> B Ebmin Db B Ebmin Db B Ebmin Db Abmin Gb B Db <bridge_1> B Ebmin Db B Ebmin Db B Gb Db Abmin Gb B Db <outro_1> B Db Ebmin Db B Db Ebmin Db B Db Ebmin Db B Db Ebmin,2021-07-09,electronic,125
4882,<intro_1> Bmin G A D A Bmin G A D A Bmin G A G A G A G <verse_1> Bmin G D A Bmin G D A Bmin G D A G A <verse_2> Bmin G D A Bmin G D A Bmin G D A G A <chorus_1> Bmin G D A Bmin G D A Bmin G D A Bmin G D A G A Bmin G A G A Bmin G A G <verse_3> Bmin G D A Bmin G Bmin G D A G A <verse_4> Bmin G D A Bmin G D A Bmin G D A G A <chorus_2> Bmin G D A Bmin G D A Bmin G D A Bmin G D A <verse_5> Bmin G D A Bmin G D A Bmin G D A G A <instrumental_1> Bmin G A <bridge_1> Bmin G A Bmin G A Bmin G A Bmin G A Emin Bmin G D A Bmin G D A Bmin G D A Bmin G D A Bmin G A D A Bmin G A D A Bmin G A G A Bmin G A G,1994,punk,190
5978,<intro_1> G D A D G D A D G D A D G D A D G D A D G D A D <verse_1> G D A D G D A D G D A D G D A D <chorus_1> G D A D G D A D G D A D G D A D <instrumental_1> G D A D G D A D <verse_2> G D A D G D A D G D A D G D A D <chorus_2> G D A D G D A D G D A D G D A D <instrumental_2> G D A D G D A D <verse_3> G D A D G D A D G D A D G D A D <instrumental_3> G D A D G D A D G D A D G D A D G D A D <verse_4> G D A D G D A D G D A D G D A D <chorus_3> G D A D G D A D G D A D G D A D G D A D G D A D G D A D G D A D <outro_1> G D A D G D A D G D A D,2023-01-13,pop_rock,212
6152,<intro_1> Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G <chorus_1> Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G <verse_1> Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G <chorus_2> Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C <bridge_1> G Emin Amin C G Emin Amin C G Emin Amin C G Emin Amin C G Emin A C G Emin A C G Emin A C G Emin A C G <chorus_3> Emin A C G Emin A C G Emin A C G Emin A C G Emin,2020-08-28,electronic,143
6403,<intro_1> Cmin G Ab Bb Cmin G Ab Bb <chorus_1> Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb <verse_1> Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin <chorus_2> G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb <verse_2> Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb <chorus_3> G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb <verse_3> Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin <chorus_4> G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb <verse_4> Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb Cmin G Ab Bb,2011-12-27,reggae,150
6727,<intro_1> Fmin Cmin Db Eb Bb Cmin Fmin Cmin Db Eb Bb Cmin Fmin Cmin Db Eb Bb Cmin Fmin Cmin Db Eb Bb Cmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin <verse_1> Ebmin B Db Bbmin Ebmin B Db Bbmin Ebmin B Db Bbmin Ebmin B Db Bbmin <chorus_1> Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin <verse_2> Ebmin B Db Bbmin Ebmin B Db Bbmin Ebmin B Db Bbmin Ebmin B Db Bbmin Ebmin <chorus_2> Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Fmin Cmin Db Eb Bb Cmin Fmin Cmin Db Eb Bb Cmin Fmin Cmin Db Eb Bb Cmin Fmin Cmin Db Eb Bb Cmin <interlude_1> Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin <chorus_3> Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin Ebmin Bbmin B Db Ab Bbmin,2003-01-01,metal,231
7491,<intro_1> Amin F G C F C G C <verse_1> Amin C G C Amin C G C Amin C G C Amin C G C <chorus_1> F C G C F C G C F C G C Amin C G C <instrumental_1> Amin F G C F C G C <verse_2> Amin C G C Amin C G C Amin C G C Amin C G C <chorus_2> F C G C F C G C F C G C Amin C G C <verse_3> Amin C G C Amin C G C <bridge_1> F Amin E7 Amin F E7 Amin G F G <chorus_3> F C G C F C G C F C G C Amin C G C <outro_1> F C E7 Amin F C G C Amin F E7 Amin F C G C,2022-03-11,electronic,140
7630,<intro_1> Emin C Emin C Emin C Emin C <verse_1> Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D <chorus_1> Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D <verse_2> Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D <chorus_2> Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D <bridge_1> Emin C Emin C Emin C Emin C <chorus_3> Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D <outro_1> Emin C Emin C,2011-01-01,rap,172
7922,<intro_1> F Dmin C Amin Bb Gmin Amin C C7 F Dmin C Amin Bb Gmin Amin C C7 <verse_1> F Dmin C Amin Bb Gmin Amin C C7 F Dmin C Amin Bb Gmin Amin C C7 <verse_2> F Dmin C Amin Bb Gmin Amin C C7 F Dmin C Amin Bb Gmin Amin Bb <chorus_1> Eb Ab C Bb C F Bb Eb Ab C Bb C F Bb F Dmin C Amin Bb Gmin Amin C C7 <verse_3> F Dmin C Amin Bb Gmin Amin C C7 F Dmin C Amin Bb Gmin Amin Bb <chorus_2> Eb Ab C Bb C F Bb Eb Ab C Bb C F Bb <bridge_1> Db Bbmin Amin E A D G C Db Bbmin Amin E A D G C Db Bbmin Amin E A D G C Db Bbmin Amin E A D G C Amin C C7 F Dmin C Amin Bb Gmin Amin C C7 <verse_4> F Dmin C Amin Bb Gmin Amin C C7 F Dmin C Amin Bb Gmin Amin Bb Eb <chorus_3> Ab C Bb C F Bb Eb Ab C Bb C Amin C C7 <bridge_2> Db Bbmin Amin E A D G C Db Bbmin Amin E A D G C G C G C G Amin C C7 F,2011-11-18,alternative,218
