track,part,partType,prog
http://purl.org/ontology/mpo/soul_606998,http://purl.org/ontology/mpo/soul_606998_bridge_5,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/soul_606998_bridge_5_ChordProgression_200
http://purl.org/ontology/mpo/rock_68556,http://purl.org/ontology/mpo/rock_68556_chorus_2,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/rock_68556_chorus_2_ChordProgression_67
http://purl.org/ontology/mpo/rock_68556,http://purl.org/ontology/mpo/rock_68556_chorus_3,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/rock_68556_chorus_3_ChordProgression_32
http://purl.org/ontology/mpo/rock_68556,http://purl.org/ontology/mpo/rock_68556_chorus_1,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/rock_68556_chorus_1_ChordProgression_26
http://purl.org/ontology/mpo/alternative_278558,http://purl.org/ontology/mpo/alternative_278558_chorus_7,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/alternative_278558_chorus_7_ChordProgression_24
http://purl.org/ontology/mpo/punk_225893,http://purl.org/ontology/mpo/punk_225893_chorus_1,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/punk_225893_chorus_1_ChordProgression_20
http://purl.org/ontology/mpo/punk_225893,http://purl.org/ontology/mpo/punk_225893_chorus_2,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/punk_225893_chorus_2_ChordProgression_7
http://purl.org/ontology/mpo/punk_225893,http://purl.org/ontology/mpo/punk_225893_chorus_3,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/punk_225893_chorus_3_ChordProgression_7
http://purl.org/ontology/mpo/pop_86060,http://purl.org/ontology/mpo/pop_86060_verse_1,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/pop_86060_verse_1_ChordProgression_21
http://purl.org/ontology/mpo/pop_86060,http://purl.org/ontology/mpo/pop_86060_verse_2,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/pop_86060_verse_2_ChordProgression_21
http://purl.org/ontology/mpo/pop_86060,http://purl.org/ontology/mpo/pop_86060_intro_2,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/pop_86060_intro_2_ChordProgression_14
http://purl.org/ontology/mpo/pop_86060,http://purl.org/ontology/mpo/pop_86060_intro_3,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/pop_86060_intro_3_ChordProgression_15
http://purl.org/ontology/mpo/pop_86060,http://purl.org/ontology/mpo/pop_86060_verse_3,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/pop_86060_verse_3_ChordProgression_21
http://purl.org/ontology/mpo/pop_86060,http://purl.org/ontology/mpo/pop_86060_intro_1,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/pop_86060_intro_1_ChordProgression_15
http://purl.org/ontology/mpo/pop_86060,http://purl.org/ontology/mpo/pop_86060_verse_4,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/pop_86060_verse_4_ChordProgression_21
