partType1,partType2,partType3,frequency
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,293
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,285
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,146
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,105
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,90
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,63
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,62
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,62
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,54
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,54
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,52
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,42
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,42
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,42
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,41
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,40
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,37
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,36
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,35
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,34
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,34
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,25
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,25
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,25
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,24
http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,20
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,19
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,19
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,19
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,19
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,17
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,17
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,16
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,16
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,15
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Chorus,15
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Chorus,13
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,13
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,12
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,12
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,11
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,10
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,10
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,9
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,9
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,9
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Bridge,9
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,9
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Outro,9
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,9
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,8
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,8
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Intro,8
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,8
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,8
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,8
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,8
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,8
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Outro,8
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Outro,7
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,7
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,7
