precedingChord,followingChord,partType,frequency
http://purl.org/ontology/mpo/pop_623332_Bb_4,http://purl.org/ontology/mpo/pop_623332_Fmin_6,http://purl.org/ontology/mpo/Intro,206
http://purl.org/ontology/mpo/rock_598622_Bmin_194,http://purl.org/ontology/mpo/rock_598622_D_196,http://purl.org/ontology/mpo/Solo,198
http://purl.org/ontology/mpo/pop_623332_Bb_2,http://purl.org/ontology/mpo/pop_623332_Bb_4,http://purl.org/ontology/mpo/Intro,191
http://purl.org/ontology/mpo/rock_598622_D_196,http://purl.org/ontology/mpo/rock_598622_D_198,http://purl.org/ontology/mpo/Solo,147
http://purl.org/ontology/mpo/pop_618167_Fmaj7_239,http://purl.org/ontology/mpo/pop_618167_Emin7_241,http://purl.org/ontology/mpo/Chorus,146
http://purl.org/ontology/mpo/alternative_169810_G_160,http://purl.org/ontology/mpo/alternative_169810_F_162,http://purl.org/ontology/mpo/Chorus,140
http://purl.org/ontology/mpo/rock_598622_D_198,http://purl.org/ontology/mpo/rock_598622_D_200,http://purl.org/ontology/mpo/Solo,119
http://purl.org/ontology/mpo/pop_623332_Bb_7,http://purl.org/ontology/mpo/pop_623332_Bb_9,http://purl.org/ontology/mpo/Intro,111
http://purl.org/ontology/mpo/metal_8408_Fsus2_256,http://purl.org/ontology/mpo/metal_8408_Bbmin_258,http://purl.org/ontology/mpo/Chorus,87
http://purl.org/ontology/mpo/metal_8408_Fsus2_342,http://purl.org/ontology/mpo/metal_8408_Bbmin_344,http://purl.org/ontology/mpo/Chorus,87
http://purl.org/ontology/mpo/metal_368041_Emin_79,http://purl.org/ontology/mpo/metal_368041_B_81,http://purl.org/ontology/mpo/Bridge,87
http://purl.org/ontology/mpo/rock_598622_Bmin_415,http://purl.org/ontology/mpo/rock_598622_D_417,http://purl.org/ontology/mpo/Instrumental,84
http://purl.org/ontology/mpo/alternative_7922_G_114,http://purl.org/ontology/mpo/alternative_7922_Db_116,http://purl.org/ontology/mpo/Bridge,84
http://purl.org/ontology/mpo/rock_68556_Bb_185,http://purl.org/ontology/mpo/rock_68556_Bb_187,http://purl.org/ontology/mpo/Chorus,83
http://purl.org/ontology/mpo/pop_21692_F_116,http://purl.org/ontology/mpo/pop_21692_Emin_118,http://purl.org/ontology/mpo/Chorus,83
http://purl.org/ontology/mpo/pop_21692_F_53,http://purl.org/ontology/mpo/pop_21692_Emin_55,http://purl.org/ontology/mpo/Chorus,83
http://purl.org/ontology/mpo/metal_601488_Asus2_49,http://purl.org/ontology/mpo/metal_601488_Cmaj7_51,http://purl.org/ontology/mpo/Verse,81
http://purl.org/ontology/mpo/rock_598622_Bmin_350,http://purl.org/ontology/mpo/rock_598622_D_352,http://purl.org/ontology/mpo/Bridge,80
http://purl.org/ontology/mpo/rock_68556_Bb_47,http://purl.org/ontology/mpo/rock_68556_Bb_49,http://purl.org/ontology/mpo/Verse,80
http://purl.org/ontology/mpo/metal_368041_Emin_159,http://purl.org/ontology/mpo/metal_368041_B_161,http://purl.org/ontology/mpo/Solo,77
http://purl.org/ontology/mpo/country_88248_Emin_171,http://purl.org/ontology/mpo/country_88248_Amin_173,http://purl.org/ontology/mpo/Verse,76
http://purl.org/ontology/mpo/metal_601488_Cmaj7_51,http://purl.org/ontology/mpo/metal_601488_D_53,http://purl.org/ontology/mpo/Verse,73
http://purl.org/ontology/mpo/pop_rock_158951_G_187,http://purl.org/ontology/mpo/pop_rock_158951_F_189,http://purl.org/ontology/mpo/Verse,71
http://purl.org/ontology/mpo/metal_342516_G_119,http://purl.org/ontology/mpo/metal_342516_G_121,http://purl.org/ontology/mpo/Verse,70
http://purl.org/ontology/mpo/pop_rock_158951_G_12,http://purl.org/ontology/mpo/pop_rock_158951_F_14,http://purl.org/ontology/mpo/Verse,67
http://purl.org/ontology/mpo/pop_rock_158951_G_92,http://purl.org/ontology/mpo/pop_rock_158951_F_94,http://purl.org/ontology/mpo/Verse,67
http://purl.org/ontology/mpo/metal_342516_G_32,http://purl.org/ontology/mpo/metal_342516_G_34,http://purl.org/ontology/mpo/Verse,67
http://purl.org/ontology/mpo/soul_640120_G_29,http://purl.org/ontology/mpo/soul_640120_G_31,http://purl.org/ontology/mpo/Chorus,64
http://purl.org/ontology/mpo/soul_640120_G_89,http://purl.org/ontology/mpo/soul_640120_G_91,http://purl.org/ontology/mpo/Chorus,64
http://purl.org/ontology/mpo/soul_640120_G_149,http://purl.org/ontology/mpo/soul_640120_G_151,http://purl.org/ontology/mpo/Chorus,64
http://purl.org/ontology/mpo/metal_601488_Cmaj7_58,http://purl.org/ontology/mpo/metal_601488_Emin_60,http://purl.org/ontology/mpo/Verse,64
http://purl.org/ontology/mpo/soul_604419_G_139,http://purl.org/ontology/mpo/soul_604419_G_141,http://purl.org/ontology/mpo/Bridge,62
http://purl.org/ontology/mpo/pop_340919_D_184,http://purl.org/ontology/mpo/pop_340919_Emin_186,http://purl.org/ontology/mpo/Chorus,61
http://purl.org/ontology/mpo/rock_598622_D_417,http://purl.org/ontology/mpo/rock_598622_D_419,http://purl.org/ontology/mpo/Instrumental,60
http://purl.org/ontology/mpo/rock_598622_D_352,http://purl.org/ontology/mpo/rock_598622_D_354,http://purl.org/ontology/mpo/Bridge,59
http://purl.org/ontology/mpo/metal_632386_Gmin_137,http://purl.org/ontology/mpo/metal_632386_F_139,http://purl.org/ontology/mpo/Interlude,59
http://purl.org/ontology/mpo/alternative_147685_Bmin_47,http://purl.org/ontology/mpo/alternative_147685_Bmin_49,http://purl.org/ontology/mpo/Chorus,57
http://purl.org/ontology/mpo/alternative_147685_Bmin_103,http://purl.org/ontology/mpo/alternative_147685_Bmin_105,http://purl.org/ontology/mpo/Chorus,57
http://purl.org/ontology/mpo/alternative_147685_Bmin_150,http://purl.org/ontology/mpo/alternative_147685_Bmin_152,http://purl.org/ontology/mpo/Chorus,57
http://purl.org/ontology/mpo/metal_368041_Emin_232,http://purl.org/ontology/mpo/metal_368041_B_234,http://purl.org/ontology/mpo/Bridge,57
http://purl.org/ontology/mpo/soul_365063_Emin_166,http://purl.org/ontology/mpo/soul_365063_Emin_168,http://purl.org/ontology/mpo/Outro,57
http://purl.org/ontology/mpo/reggae_626906_G_8,http://purl.org/ontology/mpo/reggae_626906_Emin_10,http://purl.org/ontology/mpo/Chorus,57
http://purl.org/ontology/mpo/pop_rock_126027_Fs7_6,http://purl.org/ontology/mpo/pop_rock_126027_F_8,http://purl.org/ontology/mpo/Intro,56
http://purl.org/ontology/mpo/alternative_169810_G_152,http://purl.org/ontology/mpo/alternative_169810_F_154,http://purl.org/ontology/mpo/Chorus,56
http://purl.org/ontology/mpo/soul_365063_Emin_98,http://purl.org/ontology/mpo/soul_365063_Emin_100,http://purl.org/ontology/mpo/Bridge,56
http://purl.org/ontology/mpo/metal_358426_Fmin_244,http://purl.org/ontology/mpo/metal_358426_Db_246,http://purl.org/ontology/mpo/Solo,56
http://purl.org/ontology/mpo/rock_202406_Bb_160,http://purl.org/ontology/mpo/rock_202406_Bb_162,http://purl.org/ontology/mpo/Outro,55
http://purl.org/ontology/mpo/soul_604419_D_134,http://purl.org/ontology/mpo/soul_604419_Amin7_136,http://purl.org/ontology/mpo/Bridge,55
http://purl.org/ontology/mpo/pop_rock_312884_D_158,http://purl.org/ontology/mpo/pop_rock_312884_G_160,http://purl.org/ontology/mpo/Outro,55
http://purl.org/ontology/mpo/pop_rock_87413_F_14,http://purl.org/ontology/mpo/pop_rock_87413_Dmin7_16,http://purl.org/ontology/mpo/Verse,54
http://purl.org/ontology/mpo/alternative_147685_A_45,http://purl.org/ontology/mpo/alternative_147685_Bmin_47,http://purl.org/ontology/mpo/Chorus,54
http://purl.org/ontology/mpo/alternative_147685_A_148,http://purl.org/ontology/mpo/alternative_147685_Bmin_150,http://purl.org/ontology/mpo/Chorus,54
http://purl.org/ontology/mpo/alternative_147685_A_101,http://purl.org/ontology/mpo/alternative_147685_Bmin_103,http://purl.org/ontology/mpo/Chorus,54
http://purl.org/ontology/mpo/pop_rock_621323_Dmin_170,http://purl.org/ontology/mpo/pop_rock_621323_Bmin_172,http://purl.org/ontology/mpo/Chorus,54
http://purl.org/ontology/mpo/soul_365063_Emin_12,http://purl.org/ontology/mpo/soul_365063_Emin_14,http://purl.org/ontology/mpo/Chorus,52
http://purl.org/ontology/mpo/rock_202406_Bb_4,http://purl.org/ontology/mpo/rock_202406_Bb_6,http://purl.org/ontology/mpo/Intro,52
http://purl.org/ontology/mpo/pop_rock_87413_G_17,http://purl.org/ontology/mpo/pop_rock_87413_E7_19,http://purl.org/ontology/mpo/Verse,51
http://purl.org/ontology/mpo/soul_365063_Amin_169,http://purl.org/ontology/mpo/soul_365063_Emin_171,http://purl.org/ontology/mpo/Outro,51
http://purl.org/ontology/mpo/pop_rock_274630_F_108,http://purl.org/ontology/mpo/pop_rock_274630_G_110,http://purl.org/ontology/mpo/Chorus,51
http://purl.org/ontology/mpo/rock_598622_D_419,http://purl.org/ontology/mpo/rock_598622_D_421,http://purl.org/ontology/mpo/Instrumental,50
http://purl.org/ontology/mpo/soul_640120_Bmin7_27,http://purl.org/ontology/mpo/soul_640120_G_29,http://purl.org/ontology/mpo/Chorus,50
http://purl.org/ontology/mpo/soul_640120_Bmin7_87,http://purl.org/ontology/mpo/soul_640120_G_89,http://purl.org/ontology/mpo/Chorus,50
http://purl.org/ontology/mpo/soul_640120_Bmin7_147,http://purl.org/ontology/mpo/soul_640120_G_149,http://purl.org/ontology/mpo/Chorus,50
http://purl.org/ontology/mpo/alternative_147685_A_2,http://purl.org/ontology/mpo/alternative_147685_Bmin_4,http://purl.org/ontology/mpo/Verse,50
http://purl.org/ontology/mpo/pop_340919_G_190,http://purl.org/ontology/mpo/pop_340919_D_192,http://purl.org/ontology/mpo/Chorus,50
http://purl.org/ontology/mpo/metal_601488_Emin_54,http://purl.org/ontology/mpo/metal_601488_Cmaj7_56,http://purl.org/ontology/mpo/Verse,48
http://purl.org/ontology/mpo/pop_rock_158951_F_89,http://purl.org/ontology/mpo/pop_rock_158951_D_91,http://purl.org/ontology/mpo/Verse,48
http://purl.org/ontology/mpo/pop_rock_158951_F_184,http://purl.org/ontology/mpo/pop_rock_158951_D_186,http://purl.org/ontology/mpo/Verse,48
